360;248
312;143;137
313;173;592
314;48;744
315;2;351
316;83;142
317;14;258
318;86;101
319;121;452
320;161;189
321;37;619
322;186;524
323;55;324
324;16;94
325;102;669
326;184;221
327;104;128
328;62;263
329;174;523
330;146;199
331;98;619
332;188;681
333;25;536
334;165;165
335;178;222
336;197;226
337;108;81
338;69;867
339;30;845
340;176;111
341;154;204
342;88;455
343;194;526
344;21;408
345;129;488
346;5;443
347;53;329
348;73;38
349;14;656
350;11;265
351;151;520
352;103;14
353;163;452
354;113;615
355;141;340
356;22;301
357;139;562
358;34;246
359;60;896
360;190;181
361;46;55
362;198;571
363;31;537
364;30;18
365;179;461
366;172;818
367;168;866
368;1;714
369;60;369
370;96;383
371;161;641
372;97;218
373;161;696
374;141;35
375;7;884
376;77;747
377;6;486
378;171;850
379;54;255
380;73;4
381;137;250
382;14;124
383;30;899
384;26;721
385;172;587
386;101;425
387;162;104
388;193;191
389;166;282
390;105;774
391;116;144
392;141;490
393;64;60
394;185;105
395;114;478
396;7;540
397;50;238
398;80;25
399;5;12
400;55;719
401;150;807
402;159;567
403;63;794
404;80;584
405;113;705
406;99;762
407;146;201
408;36;84
409;36;574
410;197;135
411;107;802
412;105;710
413;34;162
414;66;608
415;147;524
416;29;655
417;187;298
418;98;139
419;92;379
420;139;855
421;146;218
422;45;725
423;158;798
424;50;888
425;188;134
426;121;177
427;169;835
428;174;652
429;107;566
430;48;884
431;5;376
432;113;69
433;115;607
434;108;524
435;121;614
436;82;146
437;167;33
438;141;400
439;56;380
440;111;642
441;165;635
442;157;761
443;4;461
444;58;613
445;11;145
446;61;844
447;179;781
448;19;204
449;45;93
450;131;446
451;166;227
452;74;223
453;24;842
454;13;656
455;39;529
456;43;592
457;168;790
458;52;458
459;185;268
460;108;147
461;92;573
462;57;503
463;110;687
464;107;561
465;107;299
466;13;451
467;189;549
468;159;876
469;176;578
470;8;17
471;88;763
472;168;869
473;178;225
474;120;694
475;178;352
476;76;354
477;169;292
478;190;655
479;182;726
480;65;358
481;72;834
482;174;711
483;166;367
484;70;353
485;183;80
486;27;697
487;134;457
488;45;647
489;20;601
490;146;609
491;52;228
492;83;708
493;8;513
494;103;755
495;45;704
496;114;159
497;188;627
498;54;205
499;83;438
500;46;122
501;97;735
502;75;339
503;96;707
504;38;490
505;49;701
506;184;898
507;166;200
508;130;175
509;38;150
510;31;739
511;71;681
512;117;86
513;51;874
514;43;305
515;23;45
516;129;122
517;143;245
518;147;38
519;177;419
520;141;800
521;178;39
522;59;418
523;96;325
524;185;637
525;119;690
526;10;236
527;108;173
528;141;887
529;129;29
530;142;78
531;44;28
532;193;626
533;89;297
534;193;877
535;47;440
536;162;107
537;117;108
538;58;400
539;5;185
540;114;243
541;134;413
542;51;516
543;121;802
544;46;214
545;36;127
546;186;797
547;195;809
548;127;13
549;49;548
550;192;542
551;141;373
552;153;328
553;109;227
554;23;829
555;175;671
556;133;733
557;5;0
558;84;831
559;117;272
560;98;254
561;153;324
562;82;693
563;19;274
564;134;58
565;186;515
566;122;879
567;35;215
568;73;818
569;129;192
570;155;845
571;143;664
572;121;32
573;123;703
574;99;533
575;74;787
576;151;589
577;143;4
578;129;628
579;49;643
580;17;492
581;120;765
582;7;469
583;196;298
584;180;799
585;13;168
586;67;88
587;198;580
588;62;692
589;59;154
590;101;53
591;195;786
592;102;209
593;130;688
594;111;368
595;174;133
596;22;392
597;144;659
598;149;14
599;113;753
600;180;679
601;195;549
602;140;104
603;18;315
604;137;654
605;68;761
606;166;67
607;67;551
608;46;899
609;141;579
610;26;136
611;47;847
612;150;314
613;22;413
614;36;468
615;34;843
616;171;526
617;40;818
618;105;226
619;16;452
620;24;539
621;155;718
622;171;450
623;9;850
624;15;547
625;136;665
626;87;610
627;98;636
628;159;138
629;178;74
630;146;883
631;158;469
632;134;500
633;128;107
634;22;560
635;143;856
636;76;284
637;128;421
638;179;442
639;7;568
640;63;582
641;69;62
642;27;379
643;24;881
644;96;220
645;195;76
646;143;15
647;115;510
648;91;625
649;148;445
650;103;859
651;13;794
652;10;744
653;90;603
654;149;613
655;157;197
656;127;868
657;135;863
658;198;516
659;53;625
660;184;788
661;75;423
662;154;767
663;93;706
664;156;135
665;92;336
666;117;757
667;177;626
668;85;335
669;186;786
670;152;169
671;85;835
672;174;780
673;3;855
674;164;2
675;84;510
676;104;597
677;90;613
678;172;723
679;121;709
680;85;819
681;169;625
682;150;472
683;2;78
684;16;568
685;137;51
686;56;675
687;190;51
688;21;184
689;22;201
690;31;312
691;31;172
692;176;5
693;7;507
694;87;662
695;49;648
696;113;245
697;100;132
698;147;469
699;157;166
700;75;654
701;160;259
702;145;528
703;90;533
704;58;424
705;149;595
706;139;236
707;13;587
708;100;287
709;132;22
710;160;816
711;189;734
712;176;650
713;66;85
714;97;546
715;5;49
716;177;822
717;11;257
718;173;434
719;15;107
720;18;63
721;56;264
722;144;89
723;171;794
724;161;118
725;184;372
726;72;682
727;101;402
728;104;448
729;196;186
730;42;327
731;142;91
732;155;263
733;174;418
734;79;737
735;128;103
736;96;40
737;112;741
738;151;890
739;69;350
740;193;481
741;69;694
742;150;349
743;34;827
744;36;420
745;5;3
746;22;117
747;180;179
748;56;870
749;16;3
750;179;765
751;28;351
752;178;377
753;153;236
754;174;401
755;110;307
756;31;479
757;186;775
758;146;811
759;183;420
760;20;314
761;3;884
762;139;108
763;136;329
764;166;189
765;149;237
766;110;429
767;37;25
768;47;388
769;44;631
770;164;605
771;123;88
772;29;266
773;51;403
774;66;761
775;77;9
776;78;129
777;20;301
778;1;184
779;74;451
780;115;534
781;189;613
782;107;600
783;171;710
784;136;239
785;99;36
786;106;795
787;119;230
788;72;863
789;36;670
790;60;787
791;24;280
792;138;181
793;19;294
794;117;660
795;85;70
796;181;754
797;182;698
798;170;70
799;115;690
800;133;778
801;34;384
802;169;664
803;89;21
804;152;266
805;100;761
806;186;530
807;90;350
808;185;418
809;125;360
810;109;91
811;52;886
812;44;463
813;113;735
814;162;458
815;88;295
816;114;862
817;49;269
818;40;108
819;71;110
820;41;891
821;53;304
822;18;75
823;55;369
824;2;806
825;187;893
826;166;478
827;85;767
828;135;493
829;190;231
830;155;768
831;145;900
832;110;204
833;73;717
834;6;523
835;117;732
836;72;24
837;68;602
838;117;325
839;84;796
840;164;813
841;18;871
842;160;33
843;116;379
844;86;768
845;23;700
846;140;431
847;13;317
848;14;51
849;159;178
850;74;454
851;32;819
852;139;866
853;16;827
854;73;554
855;63;496
856;64;609
857;22;263
858;94;804
859;26;707
860;113;629
861;154;651
862;127;534
863;191;723
864;118;303
865;41;485
866;174;561
867;110;655
868;85;338
869;24;559
870;91;71
871;53;173
872;123;680
873;36;199
874;63;401
875;44;492
876;46;352
877;90;195
878;107;313
879;173;481
880;90;747
881;12;538
882;89;385
883;128;267
884;42;556
885;133;41
886;93;9
887;191;178
888;157;837
889;175;560
890;161;500
891;130;469
892;149;770
893;78;287
894;34;694
895;89;880
896;74;869
897;14;153
898;146;840
899;194;810
900;87;533
901;39;34
902;40;289
903;176;638
904;152;401
905;69;484
906;146;37
907;47;590
908;122;70
909;195;688
910;162;37
911;69;741
912;61;319
913;116;356
914;142;304
915;47;365
916;48;91
917;48;16
918;112;657
919;152;744
920;49;210
921;19;548
922;89;560
923;34;506
924;5;143
925;85;194
926;63;161
927;6;421
928;83;535
929;9;272
930;163;440
931;74;49
932;147;693
933;89;726
934;84;622
935;68;104
936;90;846
937;173;194
938;73;87
939;125;758
940;23;802
941;158;282
942;59;62
943;60;834
944;88;735
945;108;121
946;83;513
947;65;190
948;62;463
949;90;674
950;44;836
951;113;627
952;87;795
953;116;256
954;111;82
955;4;860
956;68;532
957;66;259
958;36;452
959;143;208
960;178;684
961;103;663
962;72;383
963;110;74
964;65;258
965;7;692
966;9;212
967;44;9
968;62;0
969;66;142
970;190;506
971;100;703
972;4;684
973;105;326
974;169;729
975;192;181
976;189;329
977;158;332
978;129;826
979;122;302
980;43;673
981;149;878
982;47;713
983;154;6
984;32;549
985;94;120
986;166;497
987;91;619
988;166;259
989;49;385
990;31;192
991;47;85
992;166;536
993;167;34
994;86;634
995;22;345
996;119;336
997;125;493
998;41;35
999;122;710
1000;188;16
1001;55;178
1002;84;476
1003;71;791
1004;93;895
1005;98;556
1006;92;264
1007;146;580
1008;70;270
1009;185;864
1010;81;121
1011;56;395
1012;143;869
1013;158;632
1014;62;11
1015;137;737
1016;153;682
1017;32;378
1018;96;34
1019;51;287
1020;46;587
1021;95;797
1022;53;651
1023;4;716
1024;70;506
1025;124;493
1026;13;387
1027;171;345
1028;26;415
1029;118;794
1030;55;853
1031;144;682
1032;61;322
1033;160;603
1034;8;310
1035;13;91
1036;36;283
1037;149;449
1038;88;562
1039;67;605
1040;8;647
1041;170;308
1042;33;259
1043;80;11
1044;51;372
1045;154;536
1046;65;674
1047;65;237
1048;196;605
1049;125;7
1050;31;131
1051;80;436
1052;91;139
1053;92;680
1054;38;83
1055;70;55
1056;76;579
1057;124;391
1058;186;173
1059;32;743
1060;163;377
1061;165;482
1062;121;703
1063;20;658
1064;80;648
1065;20;104
1066;163;76
1067;171;406
1068;52;407
1069;47;624
1070;60;824
1071;184;588
1072;8;2
1073;158;764
1074;141;376
1075;78;337
1076;1;867
1077;111;469
1078;148;696
1079;67;654
1080;157;736
1081;192;151
1082;20;566
1083;148;23
1084;3;275
1085;78;600
1086;142;432
1087;70;301
1088;76;650
1089;153;319
1090;92;196
1091;96;342
1092;1;532
1093;60;758
1094;103;339
1095;196;353
1096;77;303
1097;71;225
1098;146;467
1099;32;19
1100;168;748
1101;8;738
1102;36;848
1103;124;314
1104;144;228
1105;103;154
1106;108;411
1107;174;511
1108;6;625
1109;23;305
1110;142;582
1111;24;616
1112;44;105
1113;108;752
1114;101;528
1115;86;314
1116;89;396
1117;61;129
1118;155;67
1119;73;459
1120;21;278
1121;105;795
1122;47;267
1123;63;424
1124;172;850
1125;175;884
1126;156;744
1127;13;434
1128;19;661
1129;136;343
1130;124;468
1131;176;209
1132;62;71
1133;4;729
1134;148;832
1135;4;583
1136;94;403
1137;92;160
1138;88;303
1139;133;517
1140;29;126
1141;10;83
1142;40;669
1143;107;466
1144;184;241
1145;5;717
1146;75;145
1147;11;751
1148;133;179
1149;167;192
1150;79;518
1151;104;538
1152;164;159
1153;115;435
1154;48;426
1155;40;416
1156;177;784
1157;139;701
1158;72;214
1159;44;324
1160;154;667
1161;34;492
1162;181;66
1163;178;643
1164;108;847
1165;99;341
1166;32;758
1167;126;257
1168;163;580
1169;29;42
1170;37;354
1171;140;617
1172;65;870
1173;58;679
1174;184;301
1175;177;162
1176;1;72
1177;82;505
1178;172;601
1179;161;101
1180;62;557
1181;140;701
1182;109;343
1183;60;883
1184;93;47
1185;154;623
1186;88;535
1187;72;488
1188;123;670
1189;63;784
1190;26;490
1191;155;871
1192;165;660
1193;146;73
1194;4;286
1195;133;632
1196;7;414
1197;101;558
1198;125;462
1199;39;889
1200;8;586
1201;165;177
1202;119;486
1203;32;132
1204;73;567
1205;73;249
1206;24;505
1207;123;688
1208;176;186
1209;25;364
1210;110;739
1211;72;629
1212;26;117
1213;164;645
1214;6;287
1215;63;482
1216;169;575
1217;182;484
1218;19;829
1219;63;605
1220;159;760
1221;1;178
1222;103;640
1223;36;25
1224;109;900
1225;105;435
1226;108;894
1227;28;521
1228;90;84
1229;24;633
1230;75;197
1231;104;377
1232;129;585
1233;122;593
1234;103;411
1235;32;408
1236;110;762
1237;18;775
1238;118;505
1239;22;671
1240;42;181
1241;152;486
1242;99;353
1243;93;875
1244;84;150
1245;177;793
1246;184;27
1247;76;376
1248;19;369
1249;59;661
1250;7;695
1251;4;93
1252;35;707
1253;93;655
1254;52;234
1255;173;147
1256;26;11
1257;169;277
1258;141;489
1259;81;705
1260;145;896
1261;6;817
1262;82;543
1263;83;814
1264;125;694
1265;171;228
1266;165;360
1267;148;829
1268;96;888
1269;182;679
1270;153;623
1271;184;599
1272;143;658
1273;28;838
1274;127;423
1275;93;679
1276;25;715
1277;33;802
1278;11;90
1279;50;265
1280;118;791
1281;88;707
1282;73;30
1283;43;91
1284;151;483
1285;11;591
1286;8;84
1287;45;554
1288;65;333
1289;140;435
1290;113;289
1291;176;47
1292;14;464
1293;191;177
1294;80;317
1295;10;688
1296;170;400
1297;168;893
1298;34;349
1299;69;714
1300;3;560
1301;121;104
1302;89;438
1303;36;286
1304;8;69
1305;12;687
1306;54;130
1307;11;875
1308;41;209
1309;82;64
1310;124;32
1311;195;184
1312;130;356
1313;56;850
1314;4;293
1315;196;568
1316;100;599
1317;154;84
1318;69;889
1319;103;132
1320;150;783
1321;62;310
1322;78;47
1323;192;636
1324;103;500
1325;103;692
1326;25;709
1327;158;665
1328;137;2
1329;78;615
1330;175;766
1331;78;555
1332;27;723
1333;197;550
1334;128;759
1335;58;469
1336;110;520
1337;167;511
1338;153;701
1339;170;85
1340;121;335
1341;1;717
1342;16;445
1343;149;384
1344;185;725
1345;95;619
1346;92;197
1347;33;25
1348;171;287
1349;178;65
1350;188;190
1351;33;495
1352;177;698
1353;177;490
1354;96;842
1355;185;18
1356;32;554
1357;88;101
1358;89;34
1359;15;772
1360;7;845
1361;84;159
1362;6;431
1363;55;424
1364;198;43
1365;153;315
1366;173;796
1367;27;363
1368;155;39
1369;13;820
1370;160;822
1371;193;147
1372;120;32
1373;180;284
1374;167;726
1375;181;599
1376;64;360
1377;179;186
1378;88;476
1379;62;636
1380;9;750
1381;18;762
1382;74;737
1383;43;860
1384;16;247
1385;114;626
1386;70;473
1387;161;137
1388;85;384
1389;7;363
1390;118;323
1391;181;509
1392;53;438
1393;85;573
1394;137;618
1395;198;557
1396;152;762
1397;11;373
1398;180;388
1399;41;153
1400;168;164
1401;25;630
1402;119;887
1403;180;786
1404;103;78
1405;119;774
1406;35;691
1407;33;224
1408;125;157
1409;137;598
1410;155;745
1411;75;735
1412;84;274
1413;148;871
1414;73;83
1415;169;215
1416;33;224
1417;92;146
1418;38;663
1419;177;379
1420;19;457
1421;168;723
1422;39;574
1423;45;626
1424;174;692
1425;158;547
1426;149;636
1427;38;165
1428;50;634
1429;49;823
1430;55;302
1431;67;675
1432;153;308
1433;65;528
1434;193;561
1435;115;271
1436;103;683
1437;149;588
1438;145;65
1439;96;642
1440;75;15
1441;34;96
1442;128;755
1443;194;227
1444;93;426
1445;154;53
1446;112;131
1447;157;400
1448;165;278
1449;154;137
1450;189;460
1451;1;371
1452;65;402
1453;4;803
1454;195;262
1455;152;387
1456;3;872
1457;110;584
1458;121;597
1459;12;614
1460;39;428
1461;29;406
1462;112;636
1463;19;196
1464;85;342
1465;33;211
1466;110;506
1467;173;177
1468;141;562
1469;84;768
1470;26;837
1471;155;322
1472;141;345
1473;35;316
1474;111;272
1475;197;697
1476;163;583
1477;179;472
1478;8;208
1479;123;89
1480;60;668
1481;155;431
1482;28;539
1483;195;309
1484;173;886
1485;119;550
1486;91;27
1487;52;488
1488;51;714
1489;95;867
1490;167;838
1491;35;226
1492;5;881
1493;48;658
1494;55;105
1495;8;255
1496;196;701
1497;166;254
1498;18;349
1499;6;12
1500;159;372
1501;177;438
1502;148;851
1503;43;550
1504;38;34
1505;145;758
1506;166;603
1507;191;341
1508;102;771
1509;29;473
1510;17;487
1511;111;197
1512;12;162
1513;173;339
1514;122;714
1515;82;74
1516;132;446
1517;17;614
1518;168;419
1519;56;218
1520;167;292
1521;106;485
1522;31;689
1523;16;362
1524;82;503
1525;150;146
1526;38;329
1527;10;590
1528;162;814
1529;82;879
1530;168;572
1531;70;784
1532;115;336
1533;31;830
1534;63;168
1535;74;587
1536;69;715
1537;103;538
1538;79;280
1539;6;66
1540;143;800
1541;157;76
1542;4;725
1543;63;424
1544;117;831
1545;78;844
1546;121;457
1547;188;626
1548;130;722
1549;198;227
1550;20;698
1551;179;405
1552;104;420
1553;149;56
1554;151;549
1555;86;186
1556;190;383
1557;26;275
1558;60;0
1559;125;221
1560;142;753
1561;138;656
1562;166;771
1563;142;752
1564;52;125
1565;147;186
1566;173;570
1567;86;829
1568;53;293
1569;80;520
1570;156;243
1571;120;155
1572;16;838
1573;100;392
1574;137;327
1575;4;672
1576;139;464
1577;164;43
1578;19;723
1579;6;248
1580;19;318
1581;134;335
1582;58;157
1583;91;517
1584;56;157
1585;125;785
1586;146;761
1587;182;832
1588;92;638
1589;62;284
1590;179;378
1591;178;738
1592;109;249
1593;19;724
1594;44;195
1595;26;267
1596;189;810
1597;115;714
1598;117;160
1599;103;549
1600;183;712
1601;69;222
1602;197;390
1603;95;613
1604;119;292
1605;70;705
1606;73;439
1607;58;149
1608;89;73
1609;70;465
1610;78;720
1611;17;643
1612;143;783
1613;147;572
1614;182;817
1615;43;831
1616;77;627
1617;111;702
1618;136;347
1619;152;803
1620;191;602
1621;50;420
1622;127;874
1623;103;186
1624;118;523
1625;153;226
1626;80;487
1627;12;346
1628;191;523
1629;109;894
1630;93;130
1631;124;888
1632;144;44
1633;65;425
1634;131;282
1635;88;637
1636;52;631
1637;98;729
1638;131;249
1639;110;727
1640;173;525
1641;195;217
1642;41;266
1643;129;729
1644;169;634
1645;174;8
1646;117;183
1647;177;619
1648;194;823
1649;145;428
1650;80;253
1651;120;593
1652;2;399
1653;187;129
1654;94;92
1655;12;418
1656;91;556
1657;196;341
1658;132;640
1659;190;15
1660;152;306
1661;136;733
1662;35;328
1663;65;537
1664;128;338
1665;116;349
1666;197;883
1667;87;242
1668;58;784
1669;162;197
1670;175;587
1671;187;803
1672;158;98
1673;114;442
1674;178;717
1675;1;353
1676;169;1
1677;68;33
1678;51;326
1679;146;595
1680;17;660
1681;188;361
1682;4;17
1683;128;230
1684;9;426
1685;66;388
1686;161;452
1687;7;96
1688;192;487
1689;175;129
1690;48;12
1691;96;759
1692;116;529
1693;23;794
1694;174;701
1695;124;459
1696;62;508
1697;46;838
1698;125;490
1699;147;549
1700;15;286
1701;87;479
1702;1;98
1703;61;441
1704;36;234
1705;143;643
1706;196;475
1707;150;855
1708;133;372
1709;165;574
1710;50;427
1711;56;230
1712;18;579
1713;141;530
1714;42;534
1715;142;368
1716;97;276
1717;183;863
1718;104;541
1719;78;158
1720;148;504
1721;104;665
1722;39;94
1723;188;11
1724;55;100
1725;22;641
1726;95;446
1727;123;795
1728;120;518
1729;99;760
1730;49;734
1731;21;639
1732;64;870
1733;21;770
1734;47;884
1735;86;307
1736;131;144
1737;44;371
1738;100;292
1739;112;578
1740;102;716
1741;186;828
1742;76;578
1743;176;524
1744;146;117
1745;37;124
1746;54;856
1747;195;124
1748;147;248
1749;16;60
1750;21;535
1751;10;121
1752;66;749
1753;100;329
1754;127;763
1755;122;692
1756;137;667
1757;130;635
1758;66;74
1759;47;570
1760;74;692
1761;18;673
1762;133;809
1763;172;202
1764;28;238
1765;33;595
1766;84;249
1767;115;624
1768;183;69
1769;162;267
1770;13;712
1771;39;649
1772;111;809
1773;74;719
1774;155;118
1775;47;263
1776;76;45
1777;98;772
1778;93;48
1779;51;226
1780;17;156
1781;33;900
1782;117;794
1783;53;713
1784;81;460
1785;47;266
1786;154;67
1787;136;332
1788;143;390
1789;142;590
1790;43;65
1791;156;586
1792;26;625
1793;124;702
1794;11;169
1795;69;728
1796;123;311
1797;120;867
1798;14;451
1799;94;370
1800;43;55
1801;134;407
1802;50;34
1803;8;432
1804;56;86
1805;171;75
1806;183;514
1807;8;692
1808;154;894
1809;108;465
1810;91;845
1811;85;254
1812;161;162
1813;143;592
1814;58;657
1815;73;895
1816;54;369
1817;173;552
1818;13;199
1819;137;147
1820;79;268
1821;160;399
1822;40;162
1823;93;640
1824;77;49
1825;70;205
1826;123;472
1827;159;282
1828;148;274
1829;54;31
1830;74;190
1831;169;585
1832;40;516
1833;43;418
1834;193;629
1835;5;887
1836;4;575
1837;17;506
1838;63;860
1839;180;545
1840;60;306
1841;148;200
1842;74;102
1843;19;127
1844;198;231
1845;161;332
1846;176;392
1847;197;381
1848;166;135
1849;90;893
1850;118;358
1851;162;120
1852;135;548
1853;66;162
1854;136;660
1855;191;140
1856;169;741
1857;105;302
1858;8;408
1859;190;56
1860;181;387
1861;7;870
1862;170;848
1863;95;58
1864;60;144
1865;108;756
1866;27;310
1867;50;410
1868;76;83
1869;30;885
1870;21;101
1871;169;410
1872;39;216
1873;152;882
1874;127;886
1875;167;155
1876;94;776
1877;196;283
1878;50;591
1879;112;456
1880;114;90
1881;172;895
1882;166;840
1883;78;811
1884;103;887
1885;31;57
1886;16;3
1887;108;318
1888;67;676
1889;174;273
1890;53;111
1891;168;455
1892;34;549
1893;102;652
1894;130;334
1895;69;316
1896;154;15
1897;1;390
1898;170;650
1899;86;845
1900;193;459
1901;112;885
1902;28;774
1903;114;233
1904;25;432
1905;72;71
1906;102;608
1907;33;485
1908;133;888
1909;44;537
1910;195;635
1911;139;520
1912;1;36
1913;99;678
1914;70;141
1915;191;192
1916;11;479
1917;8;545
1918;27;348
1919;85;313
1920;22;451
1921;185;315
1922;44;885
1923;91;886
1924;13;879
1925;132;364
1926;60;600
1927;60;386
1928;14;409
1929;178;898
1930;65;392
1931;12;89
1932;22;83
1933;172;216
1934;103;545
1935;104;83
1936;128;869
1937;57;448
1938;175;691
1939;167;595
1940;155;330
1941;161;127
1942;70;606
1943;28;271
1944;117;637
1945;188;653
1946;177;682
1947;38;880
1948;107;897
1949;89;73
1950;166;685
1951;128;7
1952;122;686
1953;189;515
1954;96;188
1955;173;785
1956;57;818
1957;96;687
1958;110;299
1959;142;336
1960;24;533
1961;132;678
1962;178;229
1963;120;730
1964;120;283
1965;104;228
1966;115;589
1967;33;880
1968;126;16
1969;79;627
1970;129;614
1971;85;46
1972;26;345
1973;110;881
1974;184;311
1975;18;899
1976;59;473
1977;28;587
1978;28;586
1979;195;240
1980;56;307
1981;1;166
1982;153;808
1983;153;797
1984;181;785
1985;173;74
1986;111;747
1987;178;478
1988;196;716
1989;27;688
1990;101;531
1991;191;734
1992;182;683
1993;132;339
1994;167;201
1995;26;177
1996;30;295
1997;186;304
1998;175;807
1999;94;449
2000;53;774
2001;142;192
2002;46;363
2003;117;146
2004;21;815
2005;117;710
2006;161;326
2007;112;618
2008;194;244
2009;179;346
2010;124;847
2011;6;429
2012;56;461
2013;20;2
2014;83;152
2015;168;682
2016;87;137
2017;84;88
2018;193;804
2019;102;51
2020;174;588
2021;101;141
2022;102;94
2023;81;162
2024;196;251
2025;162;126
2026;120;155
2027;73;881
2028;72;429
2029;95;703
2030;186;384
2031;28;155
2032;80;22
2033;120;111
2034;19;776
2035;10;93
2036;10;722
2037;28;582
2038;137;452
2039;191;586
2040;118;280
2041;35;417
2042;186;198
2043;106;26
2044;143;464
2045;66;463
2046;112;29
2047;171;869
2048;36;312
2049;194;690
2050;185;237
2051;198;46
2052;103;260
2053;20;489
2054;51;767
2055;186;470
2056;83;218
2057;135;490
2058;95;271
2059;108;286
2060;21;843
2061;45;278
2062;37;414
2063;25;306
2064;94;805
2065;13;774
2066;96;47
2067;95;173
2068;127;12
2069;58;608
2070;89;410
2071;40;262
2072;7;156
2073;142;716
2074;161;317
2075;160;577
2076;186;304
2077;57;642
2078;12;215
2079;31;35
2080;71;203
2081;151;756
2082;83;112
2083;192;463
2084;20;107
2085;62;644
2086;5;175
2087;182;531
2088;127;123
2089;77;121
2090;58;184
2091;83;281
2092;43;775
2093;53;411
2094;88;879
2095;48;184
2096;19;185
2097;90;127
2098;167;152
2099;98;194
2100;85;363
2101;154;477
2102;90;223
2103;28;255
2104;27;37
2105;57;419
2106;16;279
2107;131;225
2108;82;539
2109;105;85
2110;152;15
2111;141;208
2112;153;7
2113;58;18
2114;31;489
2115;192;69
2116;145;412
2117;198;175
2118;112;347
2119;168;685
2120;43;535
2121;130;43
2122;182;321
2123;109;188
2124;52;539
2125;20;273
2126;117;128
2127;106;574
2128;48;168
2129;195;779
2130;178;388
2131;148;81
2132;187;890
2133;13;546
2134;112;373
2135;100;345
2136;119;709
2137;156;879
2138;46;554
2139;157;621
2140;137;812
2141;158;58
